query,pdf,page,modality,pdf_page
"Based on AAA Foundation for Traffic Safety, what system has the highest distraction level?",2234294,9,chart,2234294_10
Does the Ford MyFord Touch system have a low distraction rating?,2234294,9,chart,2234294_10
What is the household income bracket with the greatest percentage of Saint Paul households with no car?,2234382,50,chart,2234382_51
How effective are VPNs from limiting advertisers from seeing the websites you visited?,2261140,23,chart,2261140_24
Which is the major contributor of greenhouse gasses withing the energy sector?,2288866,2,chart,2288866_3
"Is there contribution of Agriculture, Forestry and Land use, in Global greenhouse gas emission?",2288866,2,chart,2288866_3
"By 2016, what percentage of trading activities were marked as restrictive measures?  ",2296024,43,chart,2296024_44
Which top three countries have the least anxiety? ,2301743,31,chart,2301743_32
Which top three countries have the most anxiety?,2301743,31,chart,2301743_32
What country had a larger stimulus between 2008-2010 than between 2019-2020?,2311405,20,chart,2311405_21
What was the the number of international behaviorists in 1986?,2314477,33,chart,2314477_34
How many developing countries are a part of the most prospective country for investment for 2017-2019?,2319195,26,chart,2319195_27
Which were the top 3 most prospective countries for investment in 2017-2019?,2319195,26,chart,2319195_27
"In December 2020, what was the cumulative return of Russell 2000?",2322803,0,chart,2322803_1
How many births occurred in Oceania between 1990 and 2020?,2323377,30,chart,2323377_31
"During the period from 2020 to 2050, what is the projected number of births expected to take place in Sub-Saharan Africa?",2323377,30,chart,2323377_31
How many obligations did installation of power transmission equipment require for Hurricane Maria?,2336710,21,chart,2336710_22
What are some examples of a good or service when a natural disaster occurs?,2336710,21,chart,2336710_22
"Over the past 30 years, has income inequality grown or shrank between the wealthiest and poorest Americans?",2372248,32,chart,2372248_33
What was the average nominal income for the middle quintile of Americans in 1980?,2372248,32,chart,2372248_33
What proportions of Americans thought that the intervention in Iraq was a mistake after 2011?,2384395,6,chart,2384395_7
"After the 2008 recession, what percentage of people thought that it was a mistake for the US to send troops to fight in Iraq?",2384395,6,chart,2384395_7
what were the top 3 major religious groups in 2010?,2392676,5,chart,2392676_6
What percentage of people in the world identify as Muslim?,2392676,5,chart,2392676_6
"Between 2003 and 2019, has the household mortgage debt measured by Rabobank increased or decreased over time?",2410699,189,chart,2410699_190
When did the total household mortgage debt in Netherlands surpass 700 billion euros?,2410699,189,chart,2410699_190
